"","SpeciesAuthor","SpeciesAccepted","CommonName","Genus","Family","Order","Class","Phylum","Kingdom","OrganismType","DicotMonoc","AngioGymno","Authors","Journal","YearPublication","DOI.ISBN","AdditionalSource","StudyDuration","StudyStart","StudyEnd","AnnualPeriodicity","NumberPopulations","MatrixCriteriaSize","MatrixCriteriaOntogeny","MatrixCriteriaAge","MatrixPopulation","Lat","Lon","Altitude","Country","Continent","Ecoregion","StudiedSex","MatrixComposite","MatrixTreatment","MatrixCaptivity","MatrixStartYear","MatrixStartSeason","MatrixStartMonth","MatrixEndYear","MatrixEndSeason","MatrixEndMonth","MatrixSplit","MatrixFec","Observation","MatrixDimension","SurvivalIssue","UID1","checkY","checknote","habitatAuthor","UID_new","Mean_repro","Net_repro","Age_50_dead","Age_99_dead","Age_999_dead","survival_index99","Survival_index999","Survival_index_La_RepExp","Growth","Retrogression","Repro_life_expectancy","Age_at_Maturity","GiniF_repro","Gini_life99","Gini_life999","Gen_time","NSeedStages"
"117","Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 1: = 40% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.183285,1,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree",1,2.38234394460511,2.38234394460511,2,4,5,0.5,0.4,1,0,0,1,1,1,1,1,1.12212635944325,1
"120","Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 2: 25.1-39.9% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.2126925,2,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree",2,1.70401375047454,1.70401375047454,2,4,6,0.5,0.333333333333333,1,0,0,1,1,1,1,1,1.18703823554643,1
"123","Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 3: 10.1-25% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.224135,3,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree",3,1.40937843066276,1.40937843066275,2,5,6,0.4,0.333333333333333,1,0,0,1,1,1,1,1,1.22290096803547,1
"126","Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 4: 5.1-10% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.2338605,4,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree",4,1.3973139284624,1.39731392846239,2,5,6,0.4,0.333333333333333,1,0,0,1,1,1,1,1,1.40112870969496,1
"129","Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 5: 0-5% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.237751,5,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree",5,1.05856671604018,1.05856671604018,2,5,6,0.4,0.333333333333333,1,0,0,1,1,1,1,1,1.28766105828652,1
"212","Myosotis_ramosissima","Myosotis ramosissima",NA,"Myosotis","Boraginaceae","Lamiales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostal","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 1: = 40% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.116206,6,"Y","Correct as is","grassland and scree",6,5.87080533326216,5.87080533326216,2,3,4,0.666666666666667,0.5,1,0,0,1,1,1,1,1,1.01137303165133,1
"215","Myosotis_ramosissima","Myosotis ramosissima",NA,"Myosotis","Boraginaceae","Lamiales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostal","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 2: 25.1-39.9% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.111605,7,"Y","Correct as is","grassland and scree",7,4.4296532073293,4.4296532073293,2,3,4,0.666666666666667,0.5,1,0,0,1,1,1,1,1,1.01890995496947,1
"218","Myosotis_ramosissima","Myosotis ramosissima",NA,"Myosotis","Boraginaceae","Lamiales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostal","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 3: 10.1-25% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.107696,8,"Y","Correct as is","grassland and scree",8,3.84356271426938,3.84356271426938,2,3,4,0.666666666666667,0.5,1,0,0,1,1,1,1,1,1.02267623183264,1
"221","Myosotis_ramosissima","Myosotis ramosissima",NA,"Myosotis","Boraginaceae","Lamiales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostal","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 4: 5.1-10% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.1056695,9,"Y","Correct as is","grassland and scree",9,3.50534854733924,3.50534854733924,2,3,4,0.666666666666667,0.5,1,0,0,1,1,1,1,1,1.05236842134746,1
"224","Myosotis_ramosissima","Myosotis ramosissima",NA,"Myosotis","Boraginaceae","Lamiales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostal","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 5: 0-5% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.1048595,10,"Y","Correct as is","grassland and scree",10,3.15950766973543,3.15950766973543,2,3,4,0.666666666666667,0.5,1,0,0,1,0.999999999999999,1,1,1,1.02928637883475,1
"326","Saxifraga_tridactylites","Saxifraga tridactylites",NA,"Saxifraga","Saxifragaceae","Saxifragales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 1: = 40% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.1956395,11,"Y","Correct as is","grassland and scree",11,3.07220875835521,3.07220875835521,2,4,6,0.5,0.333333333333333,1,0,0,1,1,1,1,1,1.11413522815604,1
"329","Saxifraga_tridactylites","Saxifraga tridactylites",NA,"Saxifraga","Saxifragaceae","Saxifragales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 2: 25.1-39.9% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.1977975,12,"Y","Correct as is","grassland and scree",12,1.6602159926794,1.6602159926794,2,4,6,0.5,0.333333333333333,1,0,0,1,1,1,1,1,1.17407782956853,1
"332","Saxifraga_tridactylites","Saxifraga tridactylites",NA,"Saxifraga","Saxifragaceae","Saxifragales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 3: 10.1-25% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.197942,13,"Y","Correct as is","grassland and scree",13,1.06570336650592,1.06570336650592,2,4,6,0.5,0.333333333333333,1,0,0,1,1,1,1,1,1.21935102637648,1
"335","Saxifraga_tridactylites","Saxifraga tridactylites",NA,"Saxifraga","Saxifragaceae","Saxifragales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 4: 5.1-10% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.1984895,14,"Y","Correct as is","grassland and scree",14,0.620741958409391,0.620741958409387,2,4,6,0.5,0.333333333333333,1,0,0,1,1,1,1,1,1.3897195646569,1
"338","Saxifraga_tridactylites","Saxifraga tridactylites",NA,"Saxifraga","Saxifragaceae","Saxifragales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 5: 0-5% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.198709,15,"Y","Correct as is","grassland and scree",15,0.382318381119408,0.382318381119403,2,4,6,0.5,0.333333333333333,1,0,0,1,1,1,1,1,1.42821117053331,1
"367","Veronica_arvensis","Veronica arvensis",NA,"Veronica","Plantaginaceae","Malpighiales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostal","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x","Burns in prep.",3,2000,2002,"1",1,"No","Yes","No","Type 1: = 40% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.336955,16,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree",16,2.25807911761044,2.25807911761044,2,5,7,0.4,0.285714285714286,1,0,0,1,1,1,1,1,1.19622212372917,1
"370","Veronica_arvensis","Veronica arvensis",NA,"Veronica","Plantaginaceae","Malpighiales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostal","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x","Burns in prep.",3,2000,2002,"1",1,"No","Yes","No","Type 2: 25.1-39.9% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.3208545,17,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree",17,1.32624765423429,1.32624765423429,2,5,7,0.4,0.285714285714286,1,0,0,1,1,1,1,1,1.28027272625486,1
"373","Veronica_arvensis","Veronica arvensis",NA,"Veronica","Plantaginaceae","Malpighiales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostal","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x","Burns in prep.",3,2000,2002,"1",1,"No","Yes","No","Type 3: 10.1-25% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.311257,18,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree",18,0.934195429409091,0.934195429409091,2,5,7,0.4,0.285714285714286,1,0,0,1,1,1,1,1,1.34059249810164,1
"376","Veronica_arvensis","Veronica arvensis",NA,"Veronica","Plantaginaceae","Malpighiales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostal","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x","Burns in prep.",3,2000,2002,"1",1,"No","Yes","No","Type 4: 5.1-10% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.305138,19,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree",19,0.733961670097088,0.733961670097087,2,5,7,0.4,0.285714285714286,1,0,0,1,1,1,1,1,1.58448270324686,1
"379","Veronica_arvensis","Veronica arvensis",NA,"Veronica","Plantaginaceae","Malpighiales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostal","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x","Burns in prep.",3,2000,2002,"1",1,"No","Yes","No","Type 5: 0-5% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.3026905,20,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree",20,0.492131164833101,0.492131164833102,2,5,7,0.4,0.285714285714286,1,0,0,1,1,1,1,1,1.5341463756737,1
"583","Actaea_spicata","Actaea spicata",NA,"Actaea","Ranunculaceae","Ranunculales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Fröborg; Eriksson","Can J Bot","2003","10.1139/B03-099",NA,6,1993,1998,"1",2,"Shoot height","No","No","Site A",58.1,17.07,6,"SWE","Europe","TBM","A","Individual","Unmanipulated","W",1992,NA,NA,1998,NA,NA,"Divided","Yes","Deciduous forest",6,0.923333333333333,21,"Y_edits","lat long corrected","Deciduous forest",21,0.457593684093317,0.666243261336167,2,7,12,0.285714285714286,0.166666666666667,0.127496072477431,0.205083059728398,0.0521528079085434,9.49447748513169,6.19228024110362,0.386636640829728,0.809629022166147,0.654258630090441,16.0180645344084,1
"590","Actaea_spicata","Actaea spicata",NA,"Actaea","Ranunculaceae","Ranunculales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Fröborg; Eriksson","Can J Bot","2003","10.1139/B03-099",NA,6,1993,1998,"1",2,"Shoot height","No","No","Site B",58.1,17.05,63,"SWE","Europe","TBM","A","Individual","Unmanipulated","W",1992,NA,NA,1998,NA,NA,"Divided","Yes","Mixed coniferous forest",6,0.928333333333333,22,"Y_edits","lat long corrected","Mixed coniferous forest",22,0.187975237024732,0.359984846383138,2,7,10,0.285714285714286,0.2,0.112146771708978,0.227670795050649,0.107655768163401,11.0806703958717,6.75310198582481,0.525175781438192,0.84025970930932,0.777998573331342,21.0301442034484,1
"695","Alliaria_petiolata_3","Alliaria petiolata","Garlic mustard","Alliaria","Brassicaceae","Brassicales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Burns; Pardini; Schutzenhofer; Chung; Seidler; Knight","Ecology","2013","10.1890/12-1310.1",NA,2,2005,2006,"1",1,"No","Yes","No","Tyson Research Center",38.5,-90.5,187,"USA","N America","TMB","A","Individual","Unmanipulated","W",2005,NA,NA,2006,NA,NA,"Divided","Yes",NA,3,0.6902951,23,"Y","Fixed longitude. Only one population measured for one year","Forest",25,10.2718858278262,71.1314648761779,3,12,18,0.25,0.166666666666667,1,0.366005088602533,0,1,2,1,1,1,2.27138458289416,1
"698","Alliaria_petiolata_4","Alliaria petiolata","Garlic mustard","Alliaria","Brassicaceae","Brassicales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Evans; Davis; Raghu; Ragavendran; Landis; Schemske","Ecol Appl","2012","10.1890/11-1291.1",NA,4,2005,2008,"1",12,"No","Yes","No","Bartelt",40.72205,-89.5055,205,"USA","N America","TBM","A","Individual","Unmanipulated","W",2005,NA,NA,2008,NA,NA,"Divided","Yes",NA,3,0.815948743949639,24,"Y_edits","coordinates fixed. Omitted Matrix population Russ Forest and Rose Lake. Can't get original matrices, these were sent by email to Compadre. Life-cycle matches the paper and lambda values match except in Russ Forest and Rose Lake 2005 ","Forest",26,2.33712529168396,5.44950094888996,5,23,33,0.217391304347826,0.151515151515152,1.66666666666667,0.100178894585814,0,1,2,1,1,1,2.11789219870954,1
"702","Alliaria_petiolata_4","Alliaria petiolata","Garlic mustard","Alliaria","Brassicaceae","Brassicales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Evans; Davis; Raghu; Ragavendran; Landis; Schemske","Ecol Appl","2012","10.1890/11-1291.1",NA,4,2005,2008,"1",12,"No","Yes","No","Edward Lowe Foundation",41.96451,-85.9962,286,"USA","N America","TBM","A","Individual","Unmanipulated","W",2005,NA,NA,2008,NA,NA,"Divided","Yes",NA,3,0.974057686868949,25,"Y_edits","coordinates fixed. Omitted Matrix population Russ Forest and Rose Lake. Can't get original matrices, these were sent by email to Compadre. Life-cycle matches the paper and lambda values match except in Russ Forest and Rose Lake 2005 ","Forest",27,1.84064140045159,2.21918523716497,8,40,59,0.2,0.135593220338983,2.66666666666667,0.0765312372422165,0,1,2,1,1,1,6.84366909054575,1
"706","Alliaria_petiolata_4","Alliaria petiolata","Garlic mustard","Alliaria","Brassicaceae","Brassicales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Evans; Davis; Raghu; Ragavendran; Landis; Schemske","Ecol Appl","2012","10.1890/11-1291.1",NA,4,2005,2008,"1",12,"No","Yes","No","Farmdale",40.67668,-89.4878,219,"USA","N America","TBM","A","Individual","Unmanipulated","W",2005,NA,NA,2008,NA,NA,"Divided","Yes",NA,3,0.784360122227155,26,"Y_edits","coordinates fixed. Omitted Matrix population Russ Forest and Rose Lake. Can't get original matrices, these were sent by email to Compadre. Life-cycle matches the paper and lambda values match except in Russ Forest and Rose Lake 2005 ","Forest",28,0.634463644735451,0.677993704846048,4,20,29,0.2,0.137931034482759,1.33333333333333,0.123572283716792,0,1,2,1,1,1,5.05529981362356,1
"710","Alliaria_petiolata_4","Alliaria petiolata","Garlic mustard","Alliaria","Brassicaceae","Brassicales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Evans; Davis; Raghu; Ragavendran; Landis; Schemske","Ecol Appl","2012","10.1890/11-1291.1",NA,4,2005,2008,"1",12,"No","Yes","No","Homer Lake",42.10862,-88.2148,248,"USA","N America","TBM","A","Individual","Unmanipulated","W",2005,NA,NA,2008,NA,NA,"Divided","Yes",NA,3,0.891316787377659,27,"Y_edits","coordinates fixed. Omitted Matrix population Russ Forest and Rose Lake. Can't get original matrices, these were sent by email to Compadre. Life-cycle matches the paper and lambda values match except in Russ Forest and Rose Lake 2005 ","Forest",29,6.65278403759563,22.215574073456,7,34,50,0.205882352941176,0.14,2.33333333333334,0.22429282583653,0,1,2,1,1,1,2.74262970969307,1
"714","Alliaria_petiolata_4","Alliaria petiolata","Garlic mustard","Alliaria","Brassicaceae","Brassicales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Evans; Davis; Raghu; Ragavendran; Landis; Schemske","Ecol Appl","2012","10.1890/11-1291.1",NA,4,2005,2008,"1",12,"No","Yes","No","Healy Road",42.77765,-86.2025,199,"USA","N America","TBM","A","Individual","Unmanipulated","W",2005,NA,NA,2008,NA,NA,"Divided","Yes",NA,3,0.770446175437047,28,"Y_edits","coordinates fixed. Omitted Matrix population Russ Forest and Rose Lake. Can't get original matrices, these were sent by email to Compadre. Life-cycle matches the paper and lambda values match except in Russ Forest and Rose Lake 2005 ","Forest",30,0.205159880821034,0.172156392338538,4,18,26,0.222222222222222,0.153846153846154,1.33333333333333,0.051878413255691,0,1,2,1,1,1,7.21379945398273,1
